,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
151,in the open,6.0,6.0,2009-02-19,7.880889290055342e-07,8.021499758419166e-07,1268892.3333333335,1246649.6666666667,98361.5,95886.0
152,in the open,4.0,4.0,2009-02-20,4.915002405893677e-07,5.003242726692236e-07,2034587.0,1998703.7500000005,176649.5,171633.0
153,in the open,8.0,8.0,2009-02-21,1.0036264788279348e-06,1.017199573284779e-06,996386.6250000001,983091.25,68298.0,66928.5
154,in the open,9.0,9.0,2009-02-22,1.1400692934116536e-06,1.156371639857047e-06,877139.6666666666,864773.8888888888,58247.5,57162.5
155,in the open,11.0,11.0,2009-02-23,1.3137266399996083e-06,1.338162722046815e-06,761193.3636363636,747293.2727272726,46746.0,45648.0
156,in the open,7.0,7.0,2009-02-24,8.320319956715319e-07,8.483552814964017e-07,1201876.857142857,1178751.4285714286,85991.5,83642.0
157,in the open,7.0,7.0,2009-02-25,8.339904979888319e-07,8.495971513735741e-07,1199054.4285714286,1177028.4285714286,101732.0,99299.0
158,in the open,5.0,5.0,2009-02-26,5.96517767878234e-07,6.072125434566836e-07,1676396.0,1646869.8000000003,154513.5,150852.5
159,in the open,14.0,14.0,2009-02-27,1.6397184790767822e-06,1.669938354225654e-06,609860.7857142857,598824.5,43214.5,42239.0
160,in the open,6.0,6.0,2009-02-28,7.275707226026272e-07,7.387155656972996e-07,1374436.8333333333,1353700.9999999998,108810.0,106196.5
161,in the open,16.0,16.0,2009-03-01,1.961087849749293e-06,1.9904745838788484e-06,509921.06250000006,502392.7499999998,28391.5,27882.0
162,in the open,2.0,2.0,2009-03-02,2.4139222482885587e-07,2.4561346629863937e-07,4142635.500000001,4071438.0000000014,318950.5,308892.0
163,in the open,7.0,7.0,2009-03-04,8.201881581936737e-07,8.358521339364683e-07,1219232.4285714289,1196383.857142857,100327.0,98099.0
164,in the open,7.0,7.0,2009-03-05,8.297705554021797e-07,8.461607270212966e-07,1205152.4285714286,1181808.5714285714,110068.5,107319.5
165,in the open,8.0,8.0,2009-03-06,9.427931945416044e-07,9.6123056737235e-07,1060678.0000000002,1040333.1250000001,77356.5,75299.0
166,in the open,7.0,7.0,2009-03-07,8.432058687128462e-07,8.561539120118394e-07,1185950.0,1168014.2857142857,88497.0,86533.0
167,in the open,3.0,3.0,2009-03-08,3.7700424883788436e-07,3.829597709696325e-07,2652490.0000000005,2611240.333333333,319848.0,310873.0
168,in the open,7.0,7.0,2009-03-09,9.848763790203886e-07,1.0036003445503357e-06,1015355.857142857,996412.5714285711,66289.5,64644.0
169,in the open,12.0,12.0,2009-03-10,1.417055992960066e-06,1.4452852926925532e-06,705688.4166666665,691904.9166666667,46041.5,44929.5
170,in the open,8.0,8.0,2009-03-11,9.158599466969513e-07,9.355184549725612e-07,1091869.9999999998,1068926.0,84884.0,82609.0
171,in the open,5.0,5.0,2009-03-12,5.833588941755465e-07,5.952425595572919e-07,1714210.5999999999,1679987.4,133617.5,129783.5
172,in the open,8.0,8.0,2009-03-13,9.518710214765899e-07,9.70909959873505e-07,1050562.5,1029961.625,86453.0,84326.0
173,in the open,3.0,3.0,2009-03-14,3.566048084116893e-07,3.6240020555339655e-07,2804224.666666667,2759380.3333333335,280945.0,273119.5
